degree,duration,fitted,fraction,method,n_outcomes,name,ranking_error,uniform_noise,value_error_mean,value_error_std,white_noise
3,0.00041989516466856003,True,0.5555555555555556,project>errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.47124282830868913,0.2949038197918176,0.0
3,0.00038709770888090134,True,0.5555555555555556,project>errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.47157993216188254,0.2953529755814388,0.0
3,0.00039539486169815063,True,0.5555555555555556,project>errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.5108241423019096,0.34984312045611937,0.0
2,0.0005540987476706505,True,0.5555555555555556,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.39657988436923897,0.20336650893964392,0.0
2,0.0005235020071268082,True,0.5555555555555556,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.3898740954104638,0.19591994264814405,0.0
2,0.0005376981571316719,True,0.5555555555555556,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4178670391811157,0.22785200976662567,0.0
3,0.00036695320159196854,True,0.5555555555555556,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.5360722448566491,0.38720657551695636,0.0
3,0.0003495970740914345,True,0.5555555555555556,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7640021799257066,0.3940763855713603,0.0
3,0.00035241618752479553,True,0.5555555555555556,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.0,0.0,0.007693869983693307,8.371527031128835e-05,0.0
2,0.00031837355345487595,True,0.5555555555555556,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.6906366529324792,0.3376331137169566,0.0
2,0.0003091460093855858,True,0.5555555555555556,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7562984751009154,0.4098322965976259,0.0
2,0.0003018435090780258,True,0.5555555555555556,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7549976081862003,0.412483320991272,0.0
3,0.00036944448947906494,True,0.5555555555555556,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,1.0,0.0,0.8184814436240196,0.46681510519421443,0.0
3,0.00032863300293684006,True,0.5555555555555556,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.5719009176923238,0.4433264668490821,0.0
3,0.00032561272382736206,True,0.5555555555555556,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4781941219995157,0.3042308653655552,0.0
2,0.0002969140186905861,True,0.6666666666666666,errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.5859022946945945,0.46448153666797876,0.0
2,0.0002830103039741516,True,0.6666666666666666,errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7519818235086385,0.41861802807858284,0.0
2,0.00028665922582149506,True,0.6666666666666666,errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7760618305728465,0.3692357956322876,0.0
3,0.00033625587821006775,True,0.6666666666666666,errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7535582244176712,0.41541327385545035,0.0
3,0.0003182096406817436,True,0.6666666666666666,errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.749504753037052,0.414772810968609,0.0
